[2026-05-17T21:27:16.738Z] GET http://localhost:5173/ → 200 (11ms, 837B)
[2026-05-17T21:27:16.758Z] GET http://localhost:5173/@vite/client → 200 (14ms, 137725B)
[2026-05-17T21:27:16.758Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700;800&display=swap → 200 (121ms, 12535B)
[2026-05-17T21:27:16.758Z] GET http://localhost:5173/src/main.jsx → 200 (14ms, 1908B)
[2026-05-17T21:27:16.763Z] GET http://localhost:5173/@react-refresh → 200 (14ms, 117548B)
[2026-05-17T21:27:16.772Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9a6496fd → 200 (5ms, 36963B)
[2026-05-17T21:27:16.772Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=9a6496fd → 200 (6ms, 155B)
[2026-05-17T21:27:16.773Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=2a7c79fd → 200 (6ms, 1054B)
[2026-05-17T21:27:16.773Z] GET http://localhost:5173/src/index.css → 200 (6ms, 2552B)
[2026-05-17T21:27:16.773Z] GET http://localhost:5173/src/App.jsx → 200 (13ms, 9025B)
[2026-05-17T21:27:16.776Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (2ms, 4021B)
[2026-05-17T21:27:16.778Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-REFQX4J5.js?v=18bf1193 → 200 (2ms, 77956B)
[2026-05-17T21:27:16.779Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-373CG7ZK.js?v=18bf1193 → 200 (19ms, 928023B)
[2026-05-17T21:27:16.787Z] GET http://localhost:5173/src/components/IntakeScreen.jsx → 200 (5ms, 21188B)
[2026-05-17T21:27:16.787Z] GET http://localhost:5173/src/components/ResearchScreen.jsx → 200 (5ms, 18660B)
[2026-05-17T21:27:16.787Z] GET http://localhost:5173/src/components/SpawnScreen.jsx → 200 (5ms, 16288B)
[2026-05-17T21:27:16.787Z] GET http://localhost:5173/src/App.css → 200 (3ms, 1084B)
[2026-05-17T21:27:16.792Z] GET http://localhost:5173/src/components/IntakeScreen.css → 200 (5ms, 4259B)
[2026-05-17T21:27:16.796Z] GET http://localhost:5173/src/utils/businessAnalyzer.js → 200 (2ms, 9533B)
[2026-05-17T21:27:16.796Z] GET http://localhost:5173/src/components/ResearchScreen.css → 200 (3ms, 3265B)
[2026-05-17T21:27:16.796Z] GET http://localhost:5173/src/components/AgentCard.jsx → 200 (3ms, 45877B)
[2026-05-17T21:27:16.796Z] GET http://localhost:5173/src/components/SpawnScreen.css → 200 (3ms, 3836B)
[2026-05-17T21:27:16.798Z] GET http://localhost:5173/src/utils/agentTemplates.js → 200 (1ms, 42699B)
[2026-05-17T21:27:16.799Z] GET http://localhost:5173/src/components/AgentCard.css → 200 (1ms, 4476B)
[2026-05-17T21:27:17.022Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (379ms, 48432B)
[2026-05-17T21:27:42.555Z] POST http://localhost:5173/api/analyze → 500 (1ms, ?B)
[2026-05-17T21:31:19.929Z] GET https://andersonscat.github.io/agent-messenger-landing/ → 200 (165ms, 94858B)
[2026-05-17T21:31:20.123Z] GET https://fonts.googleapis.com/css2?family=Geist:wght@300;400;500;600;700;800;900&family=Geist+Mono:wght@400;500&family=Inter:wght@400;500;600;700&display=swap → 200 (82ms, 27246B)
